Comment,Designator,Footprint,LCSC
"10u","C1","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"10u","C17,C19","Capacitor_SMD:CP_Elec_4x5.4",""
"20p","C3,C5","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C107145"
"100n","C4,C6,C7,C8,C9,C10,C18,C20,C23","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"1N4148","D1,D2","Diode_SMD:D_SOD-323_HandSoldering",""
"Fiducial","FID1,FID2,FID3","Fiducial:Fiducial_0.75mm_Mask1.5mm",""
"FDD","J1","Silvestron Components:Adam_Tech_PCB-C5-26-SA-SMT_1x26_P1.00mm_Horizontal",""
"USB_A_FEMALE","J2","OpenFlops:USB_A_FEMALE",""
"PROG_PORT","J3","OpenFlops:PinHeader_2x05_P2.54mm_Vertical",""
"OLED","J4","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"OSHW_LOGO","J99","Symbol:OSHW-Logo2_9.8x8mm_Copper",""
"LED_GREEN","LD1","LED_THT:LED_D3.0mm_Horizontal_O3.81mm_Z6.0mm",""
"LED_RED","LD2","LED_THT:LED_D3.0mm_Horizontal_O3.81mm_Z6.0mm",""
"BSS138","Q1,Q2,Q3,Q4,Q5,Q6","Package_TO_SOT_SMD:SOT-23_Handsoldering",""
"MMBT3904","Q7","Package_TO_SOT_SMD:SOT-23_Handsoldering",""
"22","R1,R2,R6","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"1k","R3,R4,R8,R9,R11,R12,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"1K","R5","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"4k7","R7,R10,R13","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"Speaker","SPK1","Buzzer_Beeper:Buzzer_CUI_CPT-9019S-SMT",""
"BT_RIGHT","SW1","Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx83-2LFS",""
"BT_LEFT","SW2","Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx83-2LFS",""
"BOOT1","TP1","TestPoint:TestPoint_Pad_D1.0mm",""
"SWDIO","TP2","TestPoint:TestPoint_Pad_D1.0mm",""
"SWCLK","TP3","TestPoint:TestPoint_Pad_D1.0mm",""
"74HCT04","U1","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm",""
"STM32F105RBT6","U2","Package_QFP:LQFP-64_10x10mm_P0.5mm",""
"LM1117-3.3","U3","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"8 MHz","Y1","Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering",""